algorithm,group_type,group,strict_correct,strict_total,strict_rank1_percent,matcher_correct,matcher_total,matcher_rank1_percent,no_face,unusable
tan_triggs_ltp,transform,skew_4,7,28,25.0,7,28,25.0,0,0
tan_triggs_ltp,transform,skew_6,7,28,25.0,7,28,25.0,0,0
tan_triggs_ltp,transform,trans_10,3,28,10.714285714285714,3,28,10.714285714285714,0,0
tan_triggs_ltp,transform,trans_20,2,28,7.142857142857143,2,28,7.142857142857143,0,0
tan_triggs_ltp,transform,trans_30,1,28,3.5714285714285716,1,25,4.0,3,0
tan_triggs_ltp,category,Aspect ratio change,14,56,25.0,14,56,25.0,0,0
tan_triggs_ltp,category,Auto-levels,6,28,21.428571428571427,6,28,21.428571428571427,0,0
tan_triggs_ltp,category,Blur,17,84,20.238095238095237,17,84,20.238095238095237,0,0
tan_triggs_ltp,category,Brightness change,21,84,25.0,21,84,25.0,0,0
tan_triggs_ltp,category,Colour reduction,8,56,14.285714285714286,8,51,15.686274509803921,5,0
tan_triggs_ltp,category,Colour to monochrome,7,28,25.0,7,26,26.923076923076923,2,0
tan_triggs_ltp,category,Crop,12,84,14.285714285714286,12,84,14.285714285714286,0,0
tan_triggs_ltp,category,Flip,3,28,10.714285714285714,3,28,10.714285714285714,0,0
tan_triggs_ltp,category,Gaussian noise,12,84,14.285714285714286,12,83,14.457831325301205,1,0
tan_triggs_ltp,category,Histogram equalization,5,28,17.857142857142858,5,28,17.857142857142858,0,0
tan_triggs_ltp,category,JPEG compression,18,84,21.428571428571427,18,84,21.428571428571427,0,0
tan_triggs_ltp,category,Perspective,14,84,16.666666666666668,14,84,16.666666666666668,0,0
tan_triggs_ltp,category,Rotation,5,84,5.9523809523809526,5,55,9.090909090909092,29,0
tan_triggs_ltp,category,Scaling,13,84,15.476190476190476,13,76,17.105263157894736,8,0
tan_triggs_ltp,category,Simple rotation,7,84,8.333333333333334,7,73,9.58904109589041,11,0
tan_triggs_ltp,category,Skew,21,84,25.0,21,84,25.0,0,0
tan_triggs_ltp,category,Translation,6,84,7.142857142857143,6,81,7.407407407407407,3,0
lpq_w7,severity,heavy,41,308,13.311688311688311,41,274,14.963503649635037,34,0
lpq_w7,severity,light,87,476,18.277310924369747,87,458,18.995633187772924,18,0
lpq_w7,severity,medium,62,364,17.032967032967033,62,357,17.366946778711483,7,0
lpq_w7,transform,aspect_16_9,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,aspect_6_3,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,autolevel,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,blur_3,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,blur_5,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,blur_7,7,28,25.0,7,28,25.0,0,0
lpq_w7,transform,brightness_p10,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,brightness_p20,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,brightness_p25,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,color_8bit,4,28,14.285714285714286,4,23,17.391304347826086,5,0
lpq_w7,transform,crop_60,3,28,10.714285714285714,3,28,10.714285714285714,0,0
lpq_w7,transform,crop_70,4,28,14.285714285714286,4,28,14.285714285714286,0,0
lpq_w7,transform,crop_90,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,flip_lr,3,28,10.714285714285714,3,28,10.714285714285714,0,0
lpq_w7,transform,gaussnoise_12,4,28,14.285714285714286,4,27,14.814814814814815,1,0
lpq_w7,transform,gaussnoise_4,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,gaussnoise_8,5,28,17.857142857142858,5,28,17.857142857142858,0,0
lpq_w7,transform,histeq,5,28,17.857142857142858,5,28,17.857142857142858,0,0
lpq_w7,transform,jpeg_q30,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,jpeg_q60,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,jpeg_q80,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,monochrome,5,28,17.857142857142858,5,26,19.23076923076923,2,0
lpq_w7,transform,persp_10,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,persp_4,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,persp_6,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,rgb565,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,rot_10,7,28,25.0,7,28,25.0,0,0
lpq_w7,transform,rot_180,0,28,0.0,0,27,0.0,1,0
lpq_w7,transform,rot_25,4,28,14.285714285714286,4,27,14.814814814814815,1,0
lpq_w7,transform,rot_270,0,28,0.0,0,16,0.0,12,0
lpq_w7,transform,rot_45,0,28,0.0,0,18,0.0,10,0
lpq_w7,transform,rot_90,0,28,0.0,0,12,0.0,16,0
lpq_w7,transform,scale_50,1,28,3.5714285714285716,1,20,5.0,8,0
lpq_w7,transform,scale_70,6,28,21.428571428571427,6,28,21.428571428571427,0,0
